Reg,ParkName,DayVisits,OtherLodging,Acres,SqMiles,Camping
NE,Castle Clinton National Monument,4812930.0,0.0,1.0,0.00,0.00
NE,Fort Stanwix National Monument,94006.0,0.0,15.52,0.02,0.00
NE,George Washington Birthplace National Monument,129750.0,0.0,653.18,1.02,0.00
NE,Governors Island National Monument,522859.0,0.0,22.91,0.04,0.00
NE,Statue of Liberty National Monument,4501547.0,0.0,58.38,0.09,0.00
NE,Acadia National Park,3303393.0,0.0,49057.36,76.65,"201,741.00"
NE,Shenandoah National Park,1437341.0,101538.0,199195.27,311.24,"229,674.00"
NE,Assateague Island National Seashore,2267821.0,0.0,41346.5,64.60,"62,534.00"
NE,Cape Cod National Seashore,4692796.0,3365.0,43608.43,68.14,0.00
NE,Fire Island National Seashore,431303.0,0.0,19580.42,30.59,"4,056.00"
NE,New River Gorge National River,1197931.0,0.0,72185.76,112.79,"5,491.00"
PW,Cabrillo National Monument,959145.0,0.0,159.94,0.25,0.00
PW,Devils Postpile National Monument,135404.0,0.0,800.19,1.25,0.00
PW,Hagerman Fossil Beds National Monument,25982.0,0.0,4351.15,6.80,0.00
PW,John Day Fossil Beds National Monument,210110.0,0.0,14062.02,21.97,0.00
PW,Lava Beds National Monument,127699.0,0.0,46692.42,72.96,"10,406.00"
PW,Muir Woods National Monument,1123121.0,0.0,553.55,0.86,0.00
PW,Channel Islands National Park,364807.0,0.0,249561.0,389.94,"22,885.00"
PW,Crater Lake National Park,756344.0,35871.0,183224.05,286.29,"61,747.00"
PW,Death Valley National Park,1296283.0,24668.0,3373063.14,"5,270.41","217,495.00"
PW,Great Basin National Park,144846.0,0.0,77180.0,120.59,"42,558.00"
PW,Haleakala National Park,1263558.0,0.0,33264.62,51.98,"10,724.00"
PW,Hawaii Volcanoes National Park,1887580.0,30606.0,323431.38,505.36,"11,302.00"
PW,Joshua Tree National Park,2505286.0,0.0,790635.74,"1,235.37","319,568.00"
PW,Kings Canyon National Park,607479.0,50079.0,461901.2,721.72,"155,222.00"
PW,Lassen Volcanic National Park,536068.0,6182.0,106589.02,166.55,"96,432.00"
PW,Mount Rainier National Park,1356913.0,42223.0,236381.64,369.35,"150,882.00"
PW,North Cascades National Park,28646.0,0.0,504780.94,788.72,"25,516.00"
PW,Olympic National Park,3390221.0,85450.0,922650.1,"1,441.64","310,980.00"
PW,Redwood National Park,536297.0,0.0,138999.97,217.19,"9,660.00"
PW,Sequoia National Park,1254688.0,63940.0,404062.63,631.35,"255,693.00"
PW,Yosemite National Park,5028868.0,743546.0,761747.5,"1,190.23","1,084,164.00"
PW,Point Reyes National Seashore,2438442.0,10347.0,71055.41,111.02,"43,412.00"
PW,Mojave National Preserve,585635.0,0.0,1542775.8,"2,410.59","2,962.00"
SE,Buck Island Reef National Monument,38929.0,0.0,19015.47,29.71,0.00
SE,Castillo De San Marcos National Monument,854664.0,0.0,19.38,0.03,0.00
SE,Fort Frederica National Monument,192906.0,0.0,284.49,0.44,0.00
SE,Fort Matanzas National Monument,557810.0,0.0,300.11,0.47,0.00
SE,Fort Pulaski National Monument,344921.0,0.0,5623.1,8.79,0.00
SE,Fort Sumter National Monument,888330.0,0.0,234.74,0.37,0.00
SE,Ocmulgee National Monument,162260.0,0.0,703.7,1.10,0.00
SE,Russell Cave National Monument,24649.0,0.0,310.45,0.49,0.00
SE,Biscayne National Park,514709.0,0.0,172971.11,270.27,"2,522.00"
SE,Congaree National Park,143843.0,0.0,26275.82,41.06,286.00
SE,Dry Tortugas National Park,73661.0,0.0,64701.22,101.10,"5,934.00"
